src,dst,bw_mb
n0020,n0006,18.8
n0020,n0011,0.1
n0021,n0033,12.9
n0021,n0045,4.7
n0021,n0022,19.9
n0022,n0021,19.9
n0022,n0033,0.3
n0022,n0045,19.6
n0023,n0041,2.6
n0030,n0011,21.7
n0030,n0035,1.9
n0030,n0002,0.4
n0033,n0021,12.9
n0033,n0022,0.3
n0033,n0045,16.3
n0035,n0030,1.9
n0035,n0011,12.4
n0035,n0006,0.0
n0041,n0023,2.6
n0045,n0021,4.7
n0045,n0022,19.6
n0045,n0033,16.3
n0002,n0030,0.4
n0002,n0011,28.5
n0003,n0017,14.4
n0003,n0004,11.5
n0003,n0016,9.4
n0004,n0003,11.5
n0004,n0017,42.9
n0004,n0016,11.7
n0006,n0020,18.8
n0006,n0035,0.0
n0011,n0020,0.1
n0011,n0030,21.7
n0011,n0035,12.4
n0011,n0002,28.5
n0016,n0003,9.4
n0016,n0004,11.7
n0016,n0017,12.0
n0017,n0003,14.4
n0017,n0004,42.9
n0017,n0016,12.0
