src,dst,next_hop
n0020,n0030,n0011
n0020,n0035,n0006
n0020,n0002,n0011
n0020,n0006,n0006
n0020,n0011,n0011
n0021,n0022,n0022
n0021,n0033,n0033
n0021,n0045,n0045
n0022,n0021,n0021
n0022,n0033,n0033
n0022,n0045,n0045
n0023,n0041,n0041
n0030,n0020,n0011
n0030,n0035,n0035
n0030,n0002,n0002
n0030,n0006,n0035
n0030,n0011,n0011
n0033,n0021,n0021
n0033,n0022,n0022
n0033,n0045,n0045
n0035,n0020,n0011
n0035,n0030,n0030
n0035,n0002,n0030
n0035,n0006,n0006
n0035,n0011,n0011
n0041,n0023,n0023
n0045,n0021,n0021
n0045,n0022,n0022
n0045,n0033,n0033
n0002,n0020,n0011
n0002,n0030,n0030
n0002,n0035,n0030
n0002,n0006,n0030
n0002,n0011,n0011
n0003,n0004,n0004
n0003,n0016,n0016
n0003,n0017,n0017
n0004,n0003,n0003
n0004,n0016,n0016
n0004,n0017,n0017
n0006,n0020,n0020
n0006,n0030,n0035
n0006,n0035,n0035
n0006,n0002,n0020
n0006,n0011,n0020
n0011,n0020,n0020
n0011,n0030,n0030
n0011,n0035,n0035
n0011,n0002,n0002
n0011,n0006,n0020
n0016,n0003,n0003
n0016,n0004,n0004
n0016,n0017,n0017
n0017,n0003,n0003
n0017,n0004,n0004
n0017,n0016,n0016
