Interval,Transfer,Bitrate,Retr,Cwnd
0.00,2.9,24.3,0,97.6
1.00,2.09,17.5,0,97.6
2.00,2.32,19.5,0,97.6
3.00,2.55,21.4,0,97.6
4.00,2.55,21.4,0,97.6
5.00,2.32,19.5,0,97.6
6.00,2.32,19.5,0,97.6
7.00,2.55,21.4,0,97.6
8.00,2.49,20.9,0,161.0
9.00,2.44,20.4,0,161.0
10.00,2.44,20.4,0,161.0
11.00,2.44,20.4,0,161.0
12.00,2.44,20.4,0,161.0
13.00,2.09,17.5,0,161.0
14.00,2.44,20.4,0,161.0
15.00,2.44,20.4,0,161.0
16.00,2.44,20.4,0,161.0
17.00,2.09,17.5,0,161.0
18.00,2.09,17.5,0,161.0
19.00,2.44,20.4,0,161.0
20.00,2.44,20.4,0,161.0
21.00,2.44,20.4,0,161.0
22.00,2.44,20.4,0,161.0
23.00,2.44,20.4,0,161.0
24.00,2.44,20.4,0,161.0
25.00,2.09,17.5,0,161.0
26.00,2.44,20.4,0,161.0
27.00,2.44,20.4,0,161.0
28.00,2.09,17.5,0,161.0
29.00,2.44,20.4,0,161.0
30.00,2.44,20.4,0,161.0
31.00,2.07,17.3,1,112.0
32.00,2.11,17.7,3,82.0
33.00,2.42,20.3,4,66.5
34.00,2.24,18.8,0,82.0
35.00,2.05,17.2,0,90.5
36.00,2.42,20.3,0,99.0
37.00,2.36,19.8,0,102.0
38.00,2.24,18.8,0,102.0
39.00,2.49,20.9,0,103.0
40.00,2.24,18.8,0,106.0
41.00,2.24,18.8,0,106.0
42.00,2.05,17.2,2,87.7
43.00,2.67,22.4,0,99.0
44.00,2.24,18.8,0,105.0
45.00,2.17,18.2,0,105.0
46.00,2.24,18.8,0,105.0
47.00,2.49,20.9,4,80.6
48.00,1.99,16.7,3,69.3
49.00,2.55,21.4,2,59.4
50.00,2.11,17.7,5,45.2
51.00,2.55,21.4,0,72.1
52.00,2.24,18.8,4,65.0
53.00,2.36,19.8,0,83.4
54.00,2.49,20.9,0,93.3
55.00,2.17,18.2,0,102.0
56.00,2.42,20.3,0,103.0
57.00,2.24,18.8,0,103.0
58.00,2.17,18.2,0,103.0
59.00,2.24,18.8,0,103.0
60.00,2.49,20.9,0,103.0
61.00,2.11,17.7,0,164.0
62.00,2.61,21.9,0,164.0
63.00,2.61,21.9,0,164.0
64.00,2.24,18.8,0,164.0
65.00,2.61,21.9,0,164.0
66.00,2.61,21.9,0,164.0
67.00,2.8,23.5,0,232.0
68.00,2.49,20.9,0,232.0
69.00,1.99,16.7,0,232.0
70.00,2.49,20.9,0,232.0
71.00,2.49,20.9,0,232.0
72.00,2.49,20.9,0,232.0
73.00,1.99,16.7,0,232.0
74.00,2.49,20.9,0,232.0
75.00,2.49,20.9,0,232.0
76.00,2.49,20.9,0,232.0
77.00,2.49,20.9,0,232.0
78.00,2.49,20.8,0,232.0
79.00,1.99,16.7,0,232.0
80.00,2.49,20.8,0,232.0
81.00,2.49,20.9,3,161.0
82.00,2.49,20.9,0,177.0
83.00,2.49,20.9,0,177.0
84.00,1.99,16.7,0,177.0
85.00,2.49,20.9,0,177.0
86.00,2.49,20.9,3,123.0
87.00,1.99,16.7,0,123.0
88.00,2.49,20.9,0,123.0
89.00,2.49,20.9,0,123.0
90.00,2.49,20.9,0,123.0
91.00,2.49,20.9,0,123.0
92.00,1.99,16.7,4,87.7
93.00,2.49,20.9,0,99.0
94.00,2.49,20.9,0,102.0
95.00,2.49,20.8,3,87.7
96.00,1.99,16.7,0,97.6
97.00,2.49,20.8,0,103.0
98.00,2.49,20.9,0,103.0
99.00,2.49,20.9,0,103.0
100.00,1.99,16.7,0,106.0
101.00,2.49,20.9,0,106.0
102.00,2.49,20.9,0,106.0
103.00,2.49,20.8,0,106.0
104.00,1.99,16.7,7,63.6
105.00,2.49,20.9,3,65.0
106.00,1.99,16.7,0,80.6
107.00,2.49,20.9,0,91.9
108.00,2.49,20.9,0,100.0
109.00,2.49,20.8,0,102.0
110.00,2.98,25.0,0,102.0
111.00,1.99,16.7,0,105.0
112.00,2.49,20.9,0,107.0
113.00,2.49,20.9,0,107.0
114.00,2.49,20.9,0,107.0
115.00,2.49,20.8,0,107.0
116.00,2.98,25.0,0,107.0
117.00,2.49,20.8,0,107.0
118.00,2.49,20.9,0,107.0
119.00,2.49,20.9,0,107.0
120.00,2.49,20.8,0,107.0
121.00,2.49,20.9,0,107.0
122.00,1.99,16.7,0,107.0
123.00,2.49,20.9,0,107.0
124.00,2.49,20.9,0,107.0
125.00,2.49,20.9,0,107.0
126.00,2.49,20.9,0,107.0
127.00,2.49,20.9,0,107.0
128.00,1.99,16.7,0,107.0
129.00,2.49,20.8,0,107.0
130.00,2.49,20.9,3,105.0
131.00,2.49,20.9,4,84.8
132.00,2.49,20.8,0,99.0
133.00,2.49,20.8,3,83.4
134.00,2.49,20.9,0,96.2
135.00,2.49,20.8,0,100.0
136.00,2.49,20.9,0,100.0
137.00,2.49,20.9,0,102.0
138.00,2.49,20.9,0,103.0
139.00,2.49,20.9,0,103.0
140.00,2.49,20.8,0,103.0
141.00,2.49,20.9,0,124.0
142.00,2.49,20.9,0,124.0
143.00,2.49,20.9,0,124.0
144.00,2.49,20.8,0,124.0
145.00,2.49,20.9,0,124.0
146.00,2.49,20.9,0,124.0
147.00,1.99,16.7,0,124.0
148.00,2.49,20.9,0,124.0
149.00,2.49,20.8,0,124.0
150.00,2.49,20.9,0,124.0
151.00,2.49,20.8,0,124.0
152.00,2.49,20.9,0,124.0
153.00,2.49,20.9,0,124.0
154.00,2.49,20.9,0,124.0
155.00,2.49,20.9,0,124.0
156.00,2.49,20.9,0,124.0
157.00,2.49,20.9,0,124.0
158.00,1.99,16.7,0,124.0
159.00,2.49,20.8,0,124.0
160.00,2.49,20.9,0,124.0
161.00,1.99,16.7,0,124.0
162.00,2.49,20.9,0,124.0
163.00,1.99,16.7,0,124.0
164.00,2.49,20.9,0,124.0
165.00,2.49,20.9,0,124.0
166.00,1.99,16.7,0,124.0
167.00,2.49,20.9,0,124.0
168.00,2.49,20.9,0,124.0
169.00,1.99,16.7,0,124.0
170.00,2.49,20.9,0,124.0
171.00,2.49,20.9,0,124.0
172.00,2.49,20.8,0,124.0
173.00,2.49,20.9,0,124.0
174.00,2.49,20.8,0,124.0
175.00,1.99,16.7,0,124.0
176.00,2.49,20.9,0,124.0
177.00,2.49,20.9,0,124.0
178.00,2.49,20.8,0,124.0
179.00,2.49,20.9,0,124.0
180.00,2.49,20.9,0,124.0
181.00,2.49,20.8,0,124.0
182.00,2.49,20.9,0,124.0
183.00,2.49,20.9,0,124.0
184.00,1.99,16.7,0,124.0
185.00,2.49,20.9,0,124.0
186.00,2.49,20.9,0,124.0
187.00,2.49,20.8,0,124.0
188.00,1.99,16.7,0,124.0
189.00,2.49,20.9,0,124.0
190.00,2.49,20.9,4,102.0
191.00,2.49,20.9,0,113.0
192.00,1.99,16.7,0,113.0
193.00,2.49,20.9,0,113.0
194.00,2.49,20.9,0,113.0
195.00,2.49,20.9,0,113.0
196.00,1.99,16.7,0,113.0
197.00,2.49,20.8,0,113.0
198.00,2.98,25.0,0,113.0
199.00,2.49,20.9,0,113.0
200.00,2.49,20.8,0,113.0
201.00,2.49,20.9,0,113.0
202.00,2.49,20.8,0,113.0
203.00,2.49,20.9,0,113.0
204.00,2.49,20.9,0,113.0
205.00,2.49,20.9,0,113.0
206.00,2.49,20.9,0,113.0
207.00,2.98,25.0,0,113.0
208.00,2.49,20.8,0,113.0
209.00,2.49,20.9,0,113.0
210.00,2.49,20.9,4,89.1
211.00,1.99,16.7,10,36.8
212.00,2.49,20.9,0,63.6
213.00,2.49,20.9,0,77.8
214.00,2.98,25.0,0,91.9
215.00,1.99,16.7,0,99.0
216.00,2.49,20.9,0,102.0
217.00,2.49,20.9,0,102.0
218.00,2.49,20.9,0,103.0
219.00,2.49,20.9,0,126.0
220.00,2.49,20.9,0,126.0
221.00,1.99,16.7,0,126.0
222.00,2.49,20.9,0,126.0
223.00,1.99,16.7,0,126.0
224.00,2.49,20.9,0,126.0
225.00,2.49,20.9,0,126.0
226.00,2.49,20.9,0,126.0
227.00,2.49,20.9,0,126.0
228.00,2.49,20.8,0,126.0
229.00,2.49,20.9,0,126.0
230.00,2.49,20.9,0,126.0
231.00,2.49,20.9,0,126.0
232.00,2.49,20.9,0,126.0
233.00,2.49,20.9,0,126.0
234.00,2.49,20.9,0,126.0
235.00,2.49,20.9,0,126.0
236.00,2.49,20.9,0,126.0
237.00,2.49,20.9,0,126.0
238.00,2.49,20.9,0,126.0
239.00,2.49,20.9,0,126.0
240.00,2.49,20.9,0,126.0
241.00,2.49,20.9,0,126.0
