Interval,Transfer,Bitrate,Retr,Cwnd
0.00,1.55,13.0,0,70.7
1.00,765.0,6.27,0,87.7
2.00,1018.0,8.34,0,100.0
3.00,764.0,6.26,0,100.0
4.00,764.0,6.26,0,100.0
5.00,1018.0,8.34,1,1.41
6.00,0.0,0.0,0,1.41
7.00,0.0,0.0,0,1.41
8.00,0.0,0.0,1,1.41
9.00,0.0,0.0,0,1.41
10.00,0.0,0.0,0,1.41
11.00,0.0,0.0,1,1.41
12.00,0.0,0.0,0,1.41
13.00,0.0,0.0,0,1.41
14.00,0.0,0.0,0,1.41
15.00,509.0,4.17,68,48.1
16.00,1018.0,8.34,0,73.5
17.00,764.0,6.26,0,89.1
18.00,764.0,6.26,0,99.0
19.00,764.0,6.26,0,100.0
20.00,1018.0,8.34,0,100.0
21.00,0.0,0.0,1,1.41
22.00,0.0,0.0,0,1.41
23.00,0.0,0.0,0,1.41
24.00,0.0,0.0,1,1.41
25.00,0.0,0.0,0,1.41
26.00,0.0,0.0,0,1.41
27.00,0.0,0.0,1,1.41
28.00,0.0,0.0,0,1.41
29.00,0.0,0.0,0,1.41
30.00,0.0,0.0,0,1.41
31.00,1018.0,8.35,70,56.6
32.00,764.0,6.25,0,77.8
33.00,509.0,4.17,0,90.5
34.00,764.0,6.26,0,96.2
35.00,1018.0,8.34,0,96.2
36.00,509.0,4.17,1,1.41
37.00,0.0,0.0,0,1.41
38.00,0.0,0.0,0,1.41
39.00,0.0,0.0,1,1.41
40.00,0.0,0.0,0,1.41
41.00,0.0,0.0,0,1.41
42.00,0.0,0.0,1,1.41
43.00,0.0,0.0,0,1.41
44.00,0.0,0.0,0,1.41
45.00,0.0,0.0,0,1.41
46.00,764.0,6.26,66,55.1
47.00,764.0,6.25,0,77.8
48.00,764.0,6.25,0,87.7
49.00,764.0,6.25,0,94.7
50.00,1018.0,8.34,0,99.0
51.00,764.0,6.25,1,1.41
52.00,0.0,0.0,0,1.41
53.00,0.0,0.0,0,1.41
54.00,0.0,0.0,1,1.41
55.00,0.0,0.0,0,1.41
56.00,0.0,0.0,0,1.41
57.00,0.0,0.0,1,1.41
58.00,0.0,0.0,0,1.41
59.00,0.0,0.0,0,1.41
60.00,0.0,0.0,0,1.41
61.00,764.0,6.26,71,65.0
62.00,764.0,6.25,0,82.0
63.00,764.0,6.25,0,96.2
64.00,764.0,6.26,0,100.0
65.00,764.0,6.26,0,100.0
66.00,1.24,10.4,0,100.0
67.00,0.0,0.0,1,1.41
68.00,0.0,0.0,0,1.41
69.00,0.0,0.0,0,1.41
70.00,0.0,0.0,1,1.41
71.00,0.0,0.0,0,1.41
72.00,0.0,0.0,0,1.41
73.00,0.0,0.0,1,1.41
74.00,0.0,0.0,0,1.41
75.00,0.0,0.0,0,1.41
76.00,255.0,2.09,69,42.4
77.00,1018.0,8.34,0,66.5
78.00,764.0,6.25,0,89.1
79.00,764.0,6.26,0,99.0
80.00,764.0,6.26,0,99.0
81.00,764.0,6.25,0,102.0
82.00,509.0,4.17,1,1.41
83.00,0.0,0.0,0,1.41
84.00,0.0,0.0,0,1.41
85.00,0.0,0.0,1,1.41
86.00,0.0,0.0,0,1.41
87.00,0.0,0.0,0,1.41
88.00,0.0,0.0,1,1.41
89.00,0.0,0.0,0,1.41
90.00,0.0,0.0,0,1.41
91.00,0.0,0.0,0,1.41
92.00,1018.0,8.35,71,59.4
93.00,764.0,6.26,0,83.4
94.00,764.0,6.26,0,96.2
95.00,764.0,6.26,0,96.2
96.00,1018.0,8.34,0,103.0
97.00,764.0,6.25,1,1.41
98.00,0.0,0.0,0,1.41
99.00,0.0,0.0,0,1.41
100.00,0.0,0.0,1,1.41
101.00,0.0,0.0,0,1.41
102.00,0.0,0.0,0,1.41
103.00,0.0,0.0,1,1.41
104.00,0.0,0.0,0,1.41
105.00,0.0,0.0,0,1.41
106.00,0.0,0.0,0,1.41
107.00,764.0,6.26,71,52.3
108.00,764.0,6.26,0,77.8
109.00,764.0,6.25,0,91.9
110.00,509.0,4.17,0,99.0
111.00,509.0,4.17,0,99.0
112.00,1.24,10.4,0,99.0
113.00,0.0,0.0,1,1.41
114.00,0.0,0.0,0,1.41
115.00,0.0,0.0,1,1.41
116.00,0.0,0.0,0,1.41
117.00,0.0,0.0,0,1.41
118.00,0.0,0.0,1,1.41
119.00,0.0,0.0,0,1.41
120.00,0.0,0.0,0,1.41
121.00,0.0,0.0,0,1.41
122.00,255.0,2.09,68,38.2
123.00,764.0,6.25,0,66.5
124.00,764.0,6.25,0,86.3
125.00,764.0,6.26,0,94.7
126.00,764.0,6.25,0,99.0
127.00,1.24,10.4,0,99.0
128.00,0.0,0.0,1,1.41
129.00,0.0,0.0,0,1.41
130.00,0.0,0.0,0,1.41
131.00,0.0,0.0,1,1.41
132.00,0.0,0.0,0,1.41
133.00,0.0,0.0,0,1.41
134.00,0.0,0.0,1,1.41
135.00,0.0,0.0,0,1.41
136.00,0.0,0.0,0,1.41
137.00,255.0,2.09,67,70.7
138.00,1.24,10.4,0,86.3
139.00,764.0,6.26,0,94.7
140.00,509.0,4.17,0,99.0
141.00,1018.0,8.34,0,100.0
142.00,1018.0,8.34,0,100.0
143.00,509.0,4.17,1,1.41
144.00,0.0,0.0,0,1.41
145.00,0.0,0.0,1,1.41
146.00,0.0,0.0,0,1.41
147.00,0.0,0.0,0,1.41
148.00,0.0,0.0,1,1.41
149.00,0.0,0.0,0,1.41
150.00,0.0,0.0,0,1.41
151.00,0.0,0.0,1,1.41
152.00,0.0,0.0,0,1.41
153.00,0.0,0.0,0,1.41
154.00,0.0,0.0,1,1.41
155.00,0.0,0.0,0,1.41
156.00,0.0,0.0,0,1.41
157.00,0.0,0.0,1,1.41
158.00,0.0,0.0,0,1.41
159.00,0.0,0.0,0,1.41
160.00,0.0,0.0,1,1.41
161.00,0.0,0.0,0,1.41
162.00,0.0,0.0,0,1.41
163.00,0.0,0.0,11,11.3
164.00,509.0,4.17,57,53.7
165.00,1018.0,8.34,0,80.6
166.00,764.0,6.26,0,91.9
167.00,764.0,6.26,0,99.0
168.00,1018.0,8.34,1,1.41
169.00,0.0,0.0,0,1.41
170.00,0.0,0.0,0,1.41
171.00,0.0,0.0,1,1.41
172.00,0.0,0.0,0,1.41
173.00,0.0,0.0,0,1.41
174.00,0.0,0.0,1,1.41
175.00,0.0,0.0,0,1.41
176.00,0.0,0.0,0,1.41
177.00,0.0,0.0,0,1.41
178.00,509.0,4.17,71,41.0
179.00,764.0,6.25,0,69.3
180.00,764.0,6.26,0,89.1
181.00,764.0,6.26,0,93.3
182.00,764.0,6.26,0,100.0
183.00,1018.0,8.34,0,100.0
184.00,0.0,0.0,1,1.41
185.00,0.0,0.0,0,1.41
186.00,0.0,0.0,0,1.41
187.00,0.0,0.0,1,1.41
188.00,0.0,0.0,0,1.41
189.00,0.0,0.0,0,1.41
190.00,0.0,0.0,1,1.41
191.00,0.0,0.0,0,1.41
192.00,0.0,0.0,0,1.41
193.00,255.0,2.09,69,15.6
194.00,764.0,6.25,0,89.1
195.00,1018.0,8.34,0,93.3
196.00,764.0,6.26,0,100.0
197.00,509.0,4.17,0,100.0
198.00,1.24,10.4,0,100.0
199.00,255.0,2.08,1,1.41
200.00,0.0,0.0,0,1.41
201.00,0.0,0.0,0,1.41
202.00,0.0,0.0,1,1.41
203.00,0.0,0.0,0,1.41
204.00,0.0,0.0,0,1.41
205.00,0.0,0.0,1,1.41
206.00,0.0,0.0,0,1.41
207.00,0.0,0.0,0,1.41
208.00,0.0,0.0,0,1.41
209.00,1.24,10.4,71,58.0
210.00,764.0,6.26,0,83.4
211.00,509.0,4.17,0,96.2
212.00,764.0,6.25,0,100.0
213.00,1018.0,8.34,0,102.0
214.00,764.0,6.25,1,1.41
215.00,0.0,0.0,0,1.41
216.00,0.0,0.0,0,1.41
217.00,0.0,0.0,1,1.41
218.00,0.0,0.0,0,1.41
219.00,0.0,0.0,0,1.41
220.00,0.0,0.0,1,1.41
221.00,0.0,0.0,0,1.41
222.00,0.0,0.0,0,1.41
223.00,0.0,0.0,0,1.41
224.00,764.0,6.26,70,48.1
225.00,764.0,6.25,0,74.9
226.00,764.0,6.26,0,93.3
227.00,764.0,6.26,0,99.0
228.00,764.0,6.26,0,99.0
229.00,1.24,10.4,0,99.0
230.00,0.0,0.0,1,1.41
231.00,0.0,0.0,0,1.41
232.00,0.0,0.0,0,1.41
233.00,0.0,0.0,1,1.41
234.00,0.0,0.0,0,1.41
235.00,0.0,0.0,0,1.41
236.00,0.0,0.0,1,1.41
237.00,0.0,0.0,0,1.41
238.00,0.0,0.0,0,1.41
239.00,255.0,2.09,67,33.9
240.00,1018.0,8.34,0,65.0
241.00,764.0,6.26,0,84.8
242.00,764.0,6.26,0,96.2
243.00,509.0,4.17,0,96.2
244.00,1018.0,8.34,0,100.0
245.00,509.0,4.17,1,1.41
246.00,0.0,0.0,0,1.41
247.00,0.0,0.0,0,1.41
248.00,0.0,0.0,1,1.41
249.00,0.0,0.0,0,1.41
250.00,0.0,0.0,0,1.41
251.00,0.0,0.0,1,1.41
252.00,0.0,0.0,0,1.41
253.00,0.0,0.0,0,1.41
254.00,0.0,0.0,0,1.41
255.00,1018.0,8.35,67,56.6
256.00,509.0,4.17,0,80.6
257.00,764.0,6.25,0,90.5
258.00,764.0,6.26,0,102.0
259.00,1018.0,8.34,0,102.0
260.00,764.0,6.25,1,1.41
261.00,0.0,0.0,0,1.41
262.00,0.0,0.0,0,1.41
263.00,0.0,0.0,1,1.41
264.00,0.0,0.0,0,1.41
265.00,0.0,0.0,0,1.41
266.00,0.0,0.0,1,1.41
267.00,0.0,0.0,0,1.41
268.00,0.0,0.0,0,1.41
269.00,0.0,0.0,0,1.41
270.00,764.0,6.26,70,45.2
271.00,764.0,6.25,0,72.1
272.00,509.0,4.17,0,91.9
273.00,764.0,6.25,0,94.7
274.00,764.0,6.26,0,102.0
275.00,1.24,10.4,0,103.0
276.00,0.0,0.0,1,1.41
277.00,0.0,0.0,1,1.41
278.00,0.0,0.0,0,1.41
279.00,0.0,0.0,0,1.41
280.00,0.0,0.0,0,1.41
281.00,0.0,0.0,0,1.41
282.00,0.0,0.0,0,1.41
