src,dst,bw_mbps
n0019,n0037,28.0
n0019,n0019,1000.0
n0020,n0004,12.0
n0020,n0006,188.0
n0020,n0011,1.0
n0020,n0046,56.0
n0020,n0020,1000.0
n0021,n0033,129.0
n0021,n0045,47.0
n0021,n0022,199.0
n0021,n0024,15.0
n0021,n0021,1000.0
n0022,n0027,52.0
n0022,n0021,199.0
n0022,n0033,3.0
n0022,n0026,25.0
n0022,n0024,32.0
n0022,n0045,196.0
n0022,n0022,1000.0
n0023,n0041,26.0
n0023,n0008,6.0
n0023,n0037,38.8
n0023,n0032,129.0
n0023,n0023,1000.0
n0024,n0021,15.0
n0024,n0022,32.0
n0024,n0024,1000.0
n0025,n0041,31.0
n0025,n0025,1000.0
n0026,n0022,25.0
n0026,n0026,1000.0
n0027,n0022,52.0
n0027,n0027,1000.0
n0028,n0047,147.0
n0028,n0028,1000.0
n0029,n0030,50.0
n0029,n0029,1000.0
n0030,n0029,50.0
n0030,n0011,21.7
n0030,n0035,19.0
n0030,n0002,4.0
n0030,n0030,1000.0
n0031,n0009,96.0
n0031,n0047,10.0
n0031,n0031,1000.0
n0032,n0023,129.0
n0032,n0032,1000.0
n0033,n0015,47.0
n0033,n0021,129.0
n0033,n0022,3.0
n0033,n0045,163.0
n0033,n0033,1000.0
n0034,n0036,92.0
n0034,n0037,125.0
n0034,n0034,1000.0
n0035,n0030,19.0
n0035,n0011,124.0
n0035,n0006,10.0
n0035,n0035,1000.0
n0036,n0034,92.0
n0036,n0036,1000.0
n0037,n0019,28.0
n0037,n0023,38.8
n0037,n0041,18.0
n0037,n0034,125.0
n0037,n0037,1000.0
n0038,n0043,17.0
n0038,n0012,23.0
n0038,n0038,1000.0
n0039,n0002,15.0
n0039,n0011,49.0
n0039,n0039,1000.0
n0040,n0043,22.0
n0040,n0040,1000.0
n0041,n0042,90.0
n0041,n0023,26.0
n0041,n0025,31.0
n0041,n0037,18.0
n0041,n0008,42.0
n0041,n0041,1000.0
n0042,n0041,90.0
n0042,n0042,1000.0
n0043,n0040,22.0
n0043,n0038,17.0
n0043,n0043,1000.0
n0044,n0045,34.0
n0044,n0044,1000.0
n0045,n0044,35.0
n0045,n0021,47.0
n0045,n0022,196.0
n0045,n0033,163.0
n0045,n0045,1000.0
n0046,n0020,56.0
n0046,n0006,98.0
n0046,n0046,1000.0
n0047,n0028,147.0
n0047,n0031,10.0
n0047,n0047,1000.0
n0048,n0007,50.0
n0048,n0049,26.0
n0048,n0048,1000.0
n0002,n0010,51.0
n0002,n0012,12.0
n0002,n0030,4.0
n0002,n0039,15.0
n0002,n0011,28.5
n0002,n0005,1.0
n0002,n0018,50.0
n0002,n0002,1000.0
n0003,n0001,40.0
n0003,n0017,144.0
n0003,n0004,115.0
n0003,n0016,94.0
n0003,n0003,1000.0
n0004,n0020,12.0
n0004,n0003,115.0
n0004,n0017,42.9
n0004,n0016,117.0
n0004,n0015,6.0
n0004,n0004,1000.0
n0005,n0002,1.0
n0005,n0011,129.0
n0005,n0005,1000.0
n0006,n0008,90.0
n0006,n0020,188.0
n0006,n0035,10.0
n0006,n0046,98.0
n0006,n0006,1000.0
n0007,n0048,50.0
n0007,n0004,30.0
n0007,n0007,1000.0
n0008,n0006,90.0
n0008,n0023,6.0
n0008,n0041,42.0
n0008,n0008,1000.0
n0001,n0003,40.0
n0001,n0001,1000.0
n0009,n0031,96.0
n0009,n0015,45.0
n0009,n0009,1000.0
n0010,n0002,51.0
n0010,n0010,1000.0
n0011,n0020,1.0
n0011,n0030,21.7
n0011,n0035,124.0
n0011,n0039,49.0
n0011,n0002,28.5
n0011,n0005,129.0
n0011,n0011,1000.0
n0049,n0048,26.0
n0049,n0049,1000.0
n0012,n0038,23.0
n0012,n0002,12.0
n0012,n0014,46.9
n0012,n0012,1000.0
n0013,n0018,60.0
n0013,n0013,1000.0
n0014,n0012,46.9
n0014,n0014,1000.0
n0015,n0009,45.0
n0015,n0033,47.0
n0015,n0016,33.0
n0015,n0004,6.0
n0015,n0007,30.0
n0015,n0015,1000.0
n0016,n0003,94.0
n0016,n0004,117.0
n0016,n0015,33.0
n0016,n0017,120.0
n0016,n0016,1000.0
n0017,n0003,144.0
n0017,n0004,42.9
n0017,n0016,120.0
n0017,n0017,1000.0
n0018,n0013,60.0
n0018,n0002,50.0
n0018,n0018,1000.0
