src,dst,next_hop
n0019,n0037,n0037
n0019,n0023,n0037
n0019,n0041,n0037
n0019,n0008,n0037
n0019,n0032,n0037
n0019,n0025,n0037
n0019,n0006,n0037
n0019,n0020,n0037
n0019,n0035,n0037
n0019,n0046,n0037
n0019,n0004,n0037
n0019,n0011,n0037
n0019,n0030,n0037
n0019,n0003,n0037
n0019,n0017,n0037
n0019,n0016,n0037
n0019,n0015,n0037
n0019,n0039,n0037
n0019,n0002,n0037
n0019,n0005,n0037
n0019,n0029,n0037
n0019,n0033,n0037
n0019,n0018,n0037
n0019,n0021,n0037
n0019,n0022,n0037
n0019,n0045,n0037
n0019,n0013,n0037
n0019,n0024,n0037
n0019,n0026,n0037
n0037,n0019,n0019
n0037,n0023,n0023
n0037,n0041,n0041
n0037,n0008,n0023
n0037,n0032,n0023
n0037,n0025,n0041
n0037,n0006,n0023
n0037,n0020,n0023
n0037,n0035,n0023
n0037,n0046,n0023
n0037,n0004,n0023
n0037,n0011,n0023
n0037,n0030,n0023
n0037,n0003,n0023
n0037,n0017,n0023
n0037,n0016,n0023
n0037,n0015,n0023
n0037,n0039,n0023
n0037,n0002,n0023
n0037,n0005,n0023
n0037,n0029,n0023
n0037,n0033,n0023
n0037,n0018,n0023
n0037,n0021,n0023
n0037,n0022,n0023
n0037,n0045,n0023
n0037,n0013,n0023
n0037,n0024,n0023
n0037,n0026,n0023
n0023,n0019,n0037
n0023,n0037,n0037
n0023,n0041,n0041
n0023,n0008,n0008
n0023,n0032,n0032
n0023,n0025,n0041
n0023,n0006,n0008
n0023,n0020,n0008
n0023,n0035,n0008
n0023,n0046,n0008
n0023,n0004,n0008
n0023,n0011,n0008
n0023,n0030,n0008
n0023,n0003,n0008
n0023,n0017,n0008
n0023,n0016,n0008
n0023,n0015,n0008
n0023,n0039,n0008
n0023,n0002,n0008
n0023,n0005,n0008
n0023,n0029,n0008
n0023,n0033,n0008
n0023,n0018,n0008
n0023,n0021,n0008
n0023,n0022,n0008
n0023,n0045,n0008
n0023,n0013,n0008
n0023,n0024,n0008
n0023,n0026,n0008
n0041,n0019,n0037
n0041,n0037,n0037
n0041,n0023,n0023
n0041,n0008,n0008
n0041,n0032,n0023
n0041,n0025,n0025
n0041,n0006,n0008
n0041,n0020,n0008
n0041,n0035,n0008
n0041,n0046,n0008
n0041,n0004,n0008
n0041,n0011,n0008
n0041,n0030,n0008
